participantId,condition,savedAt,completed,age,gender,profession,fluency,education,ai_use,ypc_02_answer,ypc_02_correct,ypc_02_confidence,ypc_03_answer,ypc_03_correct,ypc_03_confidence,ypc_05_answer,ypc_05_correct,ypc_05_confidence,ypc_06_answer,ypc_06_correct,ypc_06_confidence,car_racing_01_answer,car_racing_01_correct,car_racing_01_confidence,car_racing_02_answer,car_racing_02_correct,car_racing_02_confidence,car_racing_03_answer,car_racing_03_correct,car_racing_03_confidence,car_racing_05_answer,car_racing_05_correct,car_racing_05_confidence,graduation_party_01_answer,graduation_party_01_correct,graduation_party_01_confidence,graduation_party_05_answer,graduation_party_05_correct,graduation_party_05_confidence,graduation_party_06_answer,graduation_party_06_correct,graduation_party_06_confidence,graduation_party_07_answer,graduation_party_07_correct,graduation_party_07_confidence,n_correct,mean_confidence,metacog_sensitivity,sus,ueq_mean,tlx_mean,nfc_mean,trust_mean,attn_instruction,attn_post,attn_sus,msgs_to_ai,pre_with_ai,pre_without_ai,pre_ai_alone,post_with_ai,post_without_ai,post_ai_alone
5f160514e2a4062d2a0ded58,ai,2026-07-17T14:44:24.343641+00:00,True,29,['Man'],Manager,Native English speaker,Upper secondary school / High school,A few times a week,B,0,76.0,D,1,81.0,C,0,72.0,C,0,86.0,B,0,100.0,D,1,84.0,B,0,82.0,C,1,65.0,D,0,74.0,C,1,85.0,D,0,81.0,D,1,79.0,5,80.42,-2.77,100.0,2.12,5.67,3.17,4.25,1,0,1,14,10,8,10,12,8,11
6a00e2783fab0770e1f95674,ai,2026-07-17T14:48:26.949864+00:00,True,29,['Man'],Student,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,99.0,C,0,96.0,B,0,97.0,B,0,99.0,B,0,98.0,D,1,94.0,D,0,97.0,D,0,98.0,D,0,99.0,B,0,98.0,D,0,90.0,D,1,93.0,2,96.5,-3.6,95.0,1.5,4.33,4.17,4.25,1,1,1,13,7,4,5,12,6,9
6a1002dabe7f5c918f052d3e,ai,2026-07-17T15:17:16.588964+00:00,True,31,['Man'],data information,Native English speaker,Higher tertiary education degree (Master's level),About once a day,D,0,69.0,D,1,89.0,A,1,93.0,C,0,83.0,C,1,90.0,B,0,87.0,D,0,89.0,C,1,94.0,C,0,79.0,C,1,86.0,C,0,68.0,C,0,78.0,5,83.75,11.4,52.5,2.12,16.17,3.0,4.0,1,1,0,15,11,11,10,11,10,10
6a0247c711c1663a4074fa1b,ai,2026-07-17T16:35:59.376264+00:00,True,47,['Man'],service advisor,Native English speaker,Vocational college degree,A few times a week,B,0,63.0,B,0,55.0,B,0,51.0,A,0,52.0,B,0,42.0,D,1,43.0,D,0,35.0,A,0,40.0,D,0,49.0,B,0,6.0,B,0,23.0,B,0,36.0,1,41.25,1.91,57.5,0.25,9.5,2.83,3.75,1,1,1,17,6,2,8,9,0,12
69fdda7887e460a4d33c272a,ai,2026-07-17T16:39:40.356096+00:00,True,20,['Man'],accounting,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,B,0,87.0,D,1,89.0,C,0,6.0,D,1,89.0,B,0,73.0,D,1,91.0,D,0,71.0,A,0,71.0,D,0,86.0,C,1,80.0,D,0,89.0,B,0,79.0,4,75.92,17.0,87.5,0.75,6.5,4.33,3.25,1,1,1,19,10,12,9,8,10,8
5c4f9227af9f500001be902e,ai,2026-07-17T16:59:49.109307+00:00,True,45,['Woman'],Team leader,Native English speaker,Upper secondary school / High school,Several times a day,B,0,52.0,C,0,95.0,B,0,100.0,B,0,45.0,B,0,89.0,D,1,80.0,D,0,71.0,B,0,65.0,D,0,90.0,B,0,79.0,B,0,81.0,B,0,80.0,1,77.25,3.0,67.5,0.0,7.83,2.67,3.38,1,1,1,32,8,5,10,8,2,6
679153802a458f825959cf4a,ai,2026-07-17T17:02:51.982270+00:00,True,46,['Man'],Mechanical engineer,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,100.0,B,0,57.0,B,0,94.0,D,1,81.0,B,0,63.0,A,0,87.0,B,0,67.0,B,0,64.0,D,0,76.0,B,0,56.0,B,0,74.0,A,0,49.0,1,72.33,9.45,92.5,2.62,11.67,3.5,3.88,1,1,1,13,10,8,11,8,6,11
5908ee77d4b33900015cb3f7,ai,2026-07-17T17:03:24.628270+00:00,True,53,['Woman'],pharmacist,Native English speaker,Higher tertiary education degree (Master's level),About once a day,C,1,93.0,A,0,89.0,B,0,86.0,A,0,88.0,C,1,83.0,B,0,89.0,D,0,82.0,C,1,91.0,A,0,59.0,B,0,93.0,B,0,95.0,D,1,66.0,4,84.5,-1.88,87.5,0.12,16.17,4.0,3.5,0,1,1,22,6,1,9,9,0,9
6702f60844f21087e0840e3d,ai,2026-07-17T17:05:22.800363+00:00,True,30,['Woman'],Customer relations,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,B,0,98.0,D,1,92.0,C,0,95.0,C,0,90.0,B,0,91.0,D,1,90.0,D,0,93.0,B,0,93.0,D,0,92.0,C,1,92.0,B,0,92.0,D,1,92.0,4,92.5,-1.5,100.0,2.88,6.33,1.33,4.75,1,0,1,16,11,5,11,11,5,10
6a11e96e121c58edac86d8ae,ai,2026-07-17T17:07:24.996701+00:00,True,31,['Man'],Manager,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,78.0,D,1,93.0,C,0,61.0,D,1,87.0,C,1,68.0,B,0,59.0,D,0,98.0,C,1,96.0,C,0,67.0,D,0,80.0,B,0,98.0,C,0,98.0,4,81.92,6.12,77.5,0.88,10.83,4.33,3.0,1,1,1,19,10,7,11,6,8,6
